date,average_return
2016-03-01,2.164347494683139
2016-04-25,-0.11538189467491944
2015-12-22,0.31094396632855525
2016-05-03,-1.2722080726640912
2016-07-26,-0.17883757721963545
2016-08-15,0.5066419158104056
2016-08-31,-0.2890153039837945
2016-10-03,0.5380544786817106
2016-01-28,1.334357968864596
2016-08-23,0.34779916660695465
2015-11-27,0.15642627149558894
2015-12-31,-0.9212692263818741
2016-02-04,0.316829660665287
2016-05-26,0.4888500279984022
2016-06-02,-0.6380468599713052
2016-01-13,-3.1417283541171295
2016-09-23,-0.8169546971304074
2015-12-29,1.7305002861239713
2016-04-22,-2.0368964952355286
2016-06-16,0.14385495913077026
2016-09-30,0.9082793437270112
2016-01-19,-0.2543738867752793
2016-05-09,-0.6772782762333941
2016-07-19,-0.3823671198827047
2016-09-15,1.9282050819877798
2016-02-08,-2.8384576874842034
2016-10-07,-0.4090231734622428
2016-05-23,-0.5087837556019545
2016-09-26,-0.5992192702621276
2016-02-03,-1.735582279398934
2016-08-26,-0.10911741310166793
2016-08-01,0.13011342515025204
2016-09-09,-2.122515297997365
2016-06-17,-1.1663317819888905
2016-09-27,0.38972195430055745
2015-12-30,-0.5046051249282845
2016-08-16,-0.7612625563748339
2016-07-21,-0.9184213000643752
2015-11-30,0.21561243113625667
2016-05-27,0.31447805869890333
2016-10-20,-0.8616059420791183
2016-04-26,-0.5322367052705337
2016-05-13,-0.6321814890222196
2016-05-31,0.19492073065890256
2016-08-05,1.1916593169310992
2016-02-22,2.130981721668423
2016-10-24,1.1004779688021147
2016-10-27,-0.2773140730511813
2016-03-22,-0.2505009828582529
2016-05-11,-0.7285429936562002
2016-06-22,-2.2185629891414793
2015-12-17,-0.948863829186266
2016-03-11,2.1285402751369102
2016-06-08,0.628947799083934
2016-06-15,0.13704480543180386
2016-08-03,0.3780757804839362
2016-04-04,0.5890105585742802
2016-06-13,-1.0725955442118178
2016-01-11,0.09255971980113661
2016-03-14,0.8191161239099355
2016-04-18,0.025163434642654543
2016-08-12,-0.09946836787413116
2016-09-22,0.7993284174630688
2016-10-17,-0.32352620591478837
2015-12-11,-3.422071922814303
2016-08-19,0.2060684542997234
2015-11-17,-0.4472014773064812
2016-04-11,0.013338089830095198
2016-09-14,0.711012915344162
2016-06-29,2.359313060027458
2016-03-03,0.3094172088175443
2016-01-05,-0.3365686761392398
2016-01-06,-1.3472252821262232
2016-06-27,-1.280262077884781
2016-04-29,-0.8847948804530368
2016-08-10,-0.6193839366893801
2016-01-20,-0.7014805311918936
2016-05-05,-1.005225316911695
2016-02-11,0.49671215379211314
2016-04-19,-0.6024432935522432
2016-09-12,1.7140838757612837
2016-10-06,-0.602767472299204
2016-02-09,-0.08440040646794746
2016-04-14,0.2240447258022688
2015-11-25,0.9043886022820271
2016-01-29,3.3498665753248007
2016-01-26,0.6672355389482059
2015-12-01,1.3085792257186788
2016-07-13,-0.283191440897397
2016-09-08,-1.226293940224755
2016-10-21,0.7156559943625771
2015-12-08,-0.7876853074866041
2016-09-01,-0.8855485457365173
2016-02-25,1.910644284301543
2016-03-16,1.0878039364590983
2016-04-08,-0.3808100547288755
2016-08-30,-0.5461037236776529
2016-10-26,-0.8721850769232713
2016-03-31,0.019645146932063717
2016-09-02,0.07732025362602038
2015-12-02,-0.8996310282261725
2016-02-18,-1.2497819891607111
2015-12-15,0.4027329743541568
2016-05-12,-0.4044653494527056
2015-12-04,1.9726538445755963
2015-12-23,0.9662213312334563
2015-12-07,-0.48280257799220233
2015-12-10,0.4100423740794163
2016-08-18,-0.012063359411417002
2016-02-12,1.2987476035829604
2016-04-20,0.05815550928742761
2016-09-16,0.35653673442539197
2016-03-02,0.657124017986707
2016-08-04,0.4451449831518143
2016-06-14,-0.6472273570833258
2015-12-24,-0.26761401877415913
2016-04-13,1.8490306524224778
2016-09-13,-0.5664261737736485
2016-10-14,0.24188761342947554
2016-07-29,1.2768232489301277
2016-08-22,-0.43331430219459416
2016-05-02,0.8020795208632526
2016-07-08,1.4877553561753396
2016-08-29,-0.2199024344863863
2016-02-29,-0.3740204038682964
2016-10-11,-0.7937359191368301
2016-03-24,0.10017616669829472
2016-07-12,1.0382425349747622
2015-11-11,0.3851738781137914
2016-01-21,-0.006238567595382638
2016-03-04,0.7122388447654113
2016-08-08,-0.3114293571783648
2016-01-27,-2.4204915885704343
2016-04-01,1.2355696997980457
2016-07-14,0.37400878514822467
2016-11-01,-1.1432458493053468
2016-01-14,2.3509774091823115
2016-08-09,0.28803459770810613
2016-03-21,0.7038439480896248
2016-06-10,-2.006271325907128
2016-10-12,0.3264435975523928
2016-02-19,-0.2145234235076881
2016-04-07,-1.9638917045352726
2015-11-19,0.22516065178720587
2016-05-16,1.5222452436940337
2016-06-23,1.1040823116530254
2016-08-02,-0.6545945098592835
2015-12-14,0.46349501801001897
2016-04-12,0.7890030733350496
2016-07-27,1.1765269710852844
2016-02-26,0.034279898932266836
2016-05-10,1.0729001372685334
2015-12-09,-1.4587094035746921
2016-05-17,-1.398496347734937
2016-10-13,-0.5564571332279886
2016-02-02,-2.838243643577381
2016-03-10,-0.6156226751316642
2016-06-24,-3.8178174172767756
2016-11-02,-0.9145711305213086
2016-09-19,-0.2274330126676957
2016-08-11,0.07415038967880523
2016-10-10,1.2427196780031982
2016-10-19,0.28471721861168475
2015-11-20,0.699222638780727
2016-01-12,1.3001043914575423
2016-06-09,-0.6654010208255343
2016-07-11,1.312419808194304
2016-01-08,-1.0959553312601076
2016-05-04,-1.1135317424225457
2015-12-16,2.188621409442079
